id,title,color,type,text
1-027,Fountain Guard of Tagmar,WHITE,{N} UNIT,"[DRAFT] At the beginning of the game, you may put this into your chronoglyph as a bookmark.
[BOOKMARK] You begin the game with 25 life. (If this is removed from your chronoglyph, your life limit becomes 20 and you lose any excess.)"
1-028,Shining Twin Sword,WHITE,{N} UNIT,"[ENT] Put 1 Knight token into the battlefield.
[CB] Put 1 Knight token into the battlefield."
1-029,Blessing Sunlight,WHITE,{L} SPELL,"Up to 3 units gain +4/+4, <<BRAVERY>> and <<VIGOR>>.
[CB] Put this into your hand."
1-030,Return Alive,WHITE,{L} SPELL,"Put up to 2 units in your discard pile into your hand.
[CB] Put 1 unit in your discard pile into your hand."
1-031,Binding Seal,WHITE,{L} SPELL,"Destroy an attacking unit.
<<JUDGE>>: Draw one card."
1-032,Disaster of Dragonlord,WHITE,{L} SPELL,Destroy all units.
1-033,Healing Light,WHITE,{E} SPELL,You gain 5 life. Draw two cards.\n[CB] You gain 5 life.
1-034,Council of Shaddas,WHITE,{E} SPELL,"Choose one. [SYNC (W)]: Instead, choose up to two.
* Put 2 Knight tokens into the battlefield.
* Chronocheck 1.
* You gain 7 life.
* Draw 1 card."
1-035,Tyldana Catapult,WHITE,{E} SPELL,"Destroy all units with 6 or more ATK.
[CB] Destroy 1 unit if your life is less than one of your opponents."
1-036,Levitating Garden of Teba,WHITE,{E} SPELL,"<<MILESTONE>>
Chronocheck 1.
<<JUDGE>>: Chronocheck 1."
1-037,Miracle of Ascendant,WHITE,{E} SPELL,Put an enemy unit to the bottom of its owner's deck. That player Chronochecks 1 or draws 1 card.
1-038,Omen of Blessing,WHITE,{N} SPELL,Prevent all damage dealt by an enemy unit.
1-039,Grueling Resistance,WHITE,{N} SPELL,Give a blocking unit +4/+4 and unexhaust it.
1-040,Trained March,WHITE,{N} SPELL,"Your units gain +1/+1.
<<JUDGE>>: Your units gain +0/+1 and <<BRAVERY>>."
1-041,"Almyle, the Fate of Gold",ORANGE,{L} UNIT,"<<BREACH>>
[AUTO] Whenever one of your other (R) units enters the battlefield, this gains +2/+2."
1-042,"Megni, the Worrior Queen",ORANGE,{L} UNIT,"<<BRAVERY>>, <<BREACH>>, <<HASTE>>
[ENT] Choose one unit. It must block this unit if able.
[CB] One of your unit gains +3/+3 and cannot be chosen by enemy spells and/or abilities."
1-043,"Belka, the Lord of the Fist",ORANGE,{L} UNIT,"<<MILESTONE>>
[ENT] Put an enemy unit into its owners CA zone.
[CB] Put this into your hand."
1-044,"Teto, the Shaman of Eagle",ORANGE,{E} UNIT,[ENT] [SYNC (R)]: You may put one card in your CA zone into your hand.
1-045,"Vulcanus, the Bloody Berserker",ORANGE,{E} UNIT,"<<BREACH>>
[CONT] Your CA cost to develop and CA cost on each of your card increase by 2.
[CB] Put this into the battlefield."
1-046,"Belka, the Lady of the Fist",ORANGE,{E} UNIT,[ENT] Put an enemy unit into its owners CA zone.
1-047,Sun Wukong,ORANGE,{E} UNIT,"<<BRAVERY>>
[RETREAT] You may discard any number of cards in your CA zone with CA values adding up to 4 or more. If you do, put this into the battlefield exhausted."
1-048,"Swald, the Worrior of the Sun",ORANGE,{E} UNIT,"[AUTO] Whenever this unit deals damage to an opponent, you may put one card in your CA zone into your hand.
[CB] Put this into the battlefield."
1-049,"Yawra, the Wolf Rider",ORANGE,{E} UNIT,"<<BREACH>>, <<HASTE>>"
1-050,"Karleen, the Blade Dancer",ORANGE,{E} UNIT,"[ENT] One of your unit gains +4/+4.
[CB] Put this into the battlefield."
1-051,"Yonaty, the Oracle of the Forest",ORANGE,{E} UNIT,"[ENT] Chronocheck 1. If a unit is put into your CA zone in this way, draw one card.
[ACT] (1): Put one unit in your CA zone into your hand."
1-052,"Celty, the Princess of the Forest",ORANGE,{E} UNIT,[ENT] Put a non-{L} unit in your CA zone into the battlefield exhausted.
1-053,"Nene, the Flosomancer",ORANGE,{E} UNIT,[ACT] Put one card in your CA zone into your grave: Activate your chronoglyph. This ability can be played only in your main phase and once per turn.\n[CB] Put this into the battlefield.
1-054,"Gamradu, the Raging Beast.",ORANGE,{E} UNIT,"If you attacked with 2 or more units this turn, the cost to play this card becomes 0.
[ENT] Destroy an enemy non-{L} unit with <<AURA>>."
1-055,"Rono Gadar, the Bloodlust Alpha",ORANGE,{E} UNIT,"[RETREAT] You may put this onto your chronoglyph as a bookmark.
[BOOKMARK] Whenever your unit attacks, it gains +1/+1."
1-056,"Ayzia, the Heaven Warrior",ORANGE,{E} UNIT,"<<BREACH>>
[CONT] Your other units with <<BREACH>> gain +1/+1.
[CB] Put one unit in your discard pile with <<BREACH>> into your hand."
1-057,"Galba Belga, the Fighting Beast",ORANGE,{E} UNIT,"<<BREACH>>
[ENT] [SYNC (R)(R)]: You may destroy one unit with ATK less than this unit."
1-058,Heracles,ORANGE,{E} UNIT,<<BREACH>>
1-059,"Maleeya, the Commander of Beasts",ORANGE,{E} UNIT,"<<BREACH>>
[ATK] If you have another token unit, this gains +2/+2.
[ENT] <<JUDGE>> Put one Bear token into the battlefield."
1-060,"Diarney, the Night Mist Princess",ORANGE,{E} UNIT,"[ENT] [SYNC (W)]: You gain 5 life.
[SYNC (R)]: Put one Bear token into the battlefield.
[SYNC (P)]: Deal 4 damage to one unit.
[SYNC (B)]: Deal 3 damage to an opponent.
[SYNC (U)]: Draw one card."
1-061,"Shackt, the Channeling Oracle",ORANGE,{E} UNIT,"[AUTO] Whenever one of your other units enters the battlefield, you may exhaust this unit.
If you do, Draw one card.
[DRAFT] [CHRONOFORM]"
1-062,Crimson Dragon Swarm,ORANGE,{N} UNIT,"<<BREACH>>
[ATK] If you have another unit with <<BREACH>>, put one Bear token into the battlefield."
1-063,Master of the Fist,ORANGE,{N} UNIT,"[ENT] One unit gains +1/+1.
[CB] Draw one card."
1-064,Honey Thief,ORANGE,{N} UNIT,"[DRAFT] At the beginning of the game, you may put this onto your chronoglyph as a bookmark.
[BOOKMARK] Whenever one of your unit deals damage to an opponent, you may sacrifce this bookmark. If you do, put one Bear token into the battlefield."
1-065,Crimson Army Phalanx,ORANGE,{N} UNIT,"<<BREACH>>
[ATK]: You may put one card in your CA zone into your discard pile. If you do, this gains +2/+0."
1-066,Sorceress of Soul Stones,ORANGE,{N} UNIT,<<MILESTONE>>
1-067,Gem Gnawer,ORANGE,{N} UNIT,"<<MILESTONE>>
[CONT] Cards in your CA zone have all colors ((W) (R) (P) (B) (U))."
1-068,Princess of Wild Roses,ORANGE,{N} UNIT,"[ENT] Deal 5 damage to one unit with <<AURA>>.
[CB] Draw 1 card."
1-069,Big Fang Bite,ORANGE,{L} SPELL,"[ENT] Choose one of your unit. Destroy an enemy unit with a lower ATK.
[CB] Destroy one unit if the number of cards in your CA zone is lower than an oppponent's."
1-070,Ritual of Earth Spirit,ORANGE,{L} SPELL,"Put 3 Bear tokens into the battlefield.
[CB] Put 1 Bear token into the battlefield."
1-071,Rousing Sunlight,ORANGE,{L} SPELL,"One unit gains +7/+7 and <<BREACH>>.
[CB] Put this into your hand."
1-072,Lore of Courage,ORANGE,{L} SPELL,"One unit gains +4/+4 and cannot be chosen by enemy spells and/or abilities.
[CB] Put one non-{L} unit in your hand into the battlefield."
1-073,Dawn to the Golden World,ORANGE,{E} SPELL,"Reveal the top 3 cards of your deck. You may put 1 non-{L} unit among them into the battlefield exhausted. Put the rest into your discard pile. If the unit put into the battlefield has <<BREACH>>, draw one card."
1-074,Banish the Aura,ORANGE,{E} SPELL,"Choose one:
* Destroy one unit with <<AURA>>.
* Draw two cards."
1-075,Council of Orbaran,ORANGE,{E} SPELL,"Choose one: [SYNC (R)]: Instead, choose up to two.
* Deal 5 damage to one unit with <<AURA>>.
* Put 1 card in your CA zone into your hand.
* One unit gains +3/+3.
* Draw 1 card."
1-076,Ancient Spirit Gate,ORANGE,{E} SPELL,"<<MILESTONE>>
Put a non-{L} unit in your CA zone into the battlefield."
1-077,Bury into a mound,ORANGE,{E} SPELL,Put a unit into its owners CA zone.
1-078,Might of Giant,ORANGE,{N} SPELL,One unit gains +3/+3.
1-079,Mystical Power,ORANGE,{N} SPELL,"One unit gains +2/+2. If it’s a {N} unit, it gains an additional +2/+2.
[CB] One unit gains <<BREACH>>."
1-080,Imagination,ORANGE,{N} SPELL,"Put one card in your CA zone into your hand.
[CB] Put this into your hand."
1-081,"Mireika, the Horn of Fire",PURPLE,{L} UNIT,"<<HASTE>>
[ATK] Your other (P) units gain +1/+1."
1-082,"Rikugo, the Purple Flame",PURPLE,{L} UNIT,"[CONT] Your other cards deal 1 additional damage to opponents and/or enemy units.
[CB] Deal 4 damage to each enemy units."
1-083,"Yels, the Thunder Cavalry",PURPLE,{L} UNIT,"<<BREACH>>, <<HASTE>>
[ENT] Deal 5 damage to an opponent or a unit.
[CB] Put this into your hand."
1-084,"Thea, the Dragon Princess",PURPLE,{E} UNIT,"<<HASTE>>
[ATK] If you have another CA1 unit, this gains +2/+0 and <<AURA>>.
[CB] Put 1 Dragon token into the battlefield."
1-085,"Kagari, the Oracle of Flames",PURPLE,{E} UNIT,[DEV] Deal 3 damage to each enemy units.
1-086,Odin,PURPLE,{E} UNIT,"<<HASTE>>
[AUTO] At the beginning of each turn, return this unit to your hand.
[ENT] [SYNC (P)(P)] This deals 4 damage to an enemy unit.
[CB] Put this into the battlefield."
1-087,"Og Signis, the Storm Beast",PURPLE,{E} UNIT,"If you have played 2 or more spells this turn, the cost to play this card becomes 0.
<<HASTE>>
[CB] Put 1 spell in your discard pile into your hand."
1-088,"Yaksh, the One Who Stake All",PURPLE,{E} UNIT,"[ENT] <<JUDGE>> Deal 5 damage to a unit.
[CONT] Each card revealed for your <<JUDGE>> has its CA value increased by 1.
[DRAFT] [CHRONOFORM]"
1-089,"Floosht, the Lightning General",PURPLE,{E} UNIT,"<<BRAVERY>>
[CONT] This can attack twice each turn.
[CB] Draw 1 card."
1-090,"Tyell, the Champion of Dragon",PURPLE,{E} UNIT,"[ENT] Put 1 Dragon token into the battlefield.
[CONT] Your Dragon tokens gain +0/+1.
[CB] Put 1 Dragon token into the battlefield."
1-091,"Vana Zue, the Guardian of Volcano",PURPLE,{E} UNIT,"[AUTO] Whenever you play a spell, this gains +2/+2.
[CB] Put 1 spell in your discard pile into your hand."
1-092,"Fappina, the Spirit Flamemancer",PURPLE,{E} UNIT,[RETREAT] Deal 5 damage to an enemy unit.
1-093,Zenobia,PURPLE,{E} UNIT,"<<HASTE>>
[CONT] Your other units with <<HASTE>> gain +1/+1.
[CB] Put 1 unit in your discard pile with <<HASTE>> into your hand."
1-094,"Ginka, the Versatile Ninja",PURPLE,{E} UNIT,"[ENT] You may return one of your other units to your hand. If you do, deal 4 damage to a unit.
[ACT] (1): If this unit is unexhausted, return it to your hand."
1-095,Hannibal Barca,PURPLE,{E} UNIT,"<<HASTE>>
[CB] Deal 4 damage to a unit."
1-096,"Liselotte, the Storm Caller",PURPLE,{E} UNIT,"[AUTO] Whenever one of your other units enter the battlefield, it gains +3/+3.
[CB] Deal 3 damage to a unit."
1-097,"Luum, the Phantom Commander",PURPLE,{E} UNIT,"[RETREAT] Put 1 Dragon token into the battlefield.
[CB] Put 1 Dragon token into the battlefield."
1-098,Minamoto no Yoshitsune,PURPLE,{E} UNIT,"<<HASTE>>
[ENT] [SYNC (P)]: This gains +2/+2."
1-099,"Xecupear, the Leader of Storm",PURPLE,{E} UNIT,"<<HASTE>>
[ENT] If it's your main phase, gain control of an enemy non-{L} unit. Unexhaust it and give it <<HASTE>>.
(Return it to the opponent at the end of the turn)"
1-100,"Yels, the Dragoon",PURPLE,{E} UNIT,"<<HASTE>>
[ATK] Deal X damage to an enemy unit (X = the number of your CA1 units on the battlefield).
[CB] Put 1 Dragon token into the battlefield."
1-101,Lu Bu,PURPLE,{E} UNIT,"<<BRAVERY>>, <<HASTE>>"
1-102,Dragon Rider of Vegga,PURPLE,{N} UNIT,"[ENT] One enemy unit cannot block.
[CB] Draw 1 card."
1-103,Wind Reader,PURPLE,{N} UNIT,"[DRAFT] At the beginning of the game, you may put this into your chronoglyph as a bookmark.
[BOOKMARK] You take the first turn. (If your opponent has the same bookmark, both cancel each other)"
1-104,Crimson Shuriken Shooter,PURPLE,{N} UNIT,[ENT] <<JUDGE>>: Deal 4 damage to an opponent.
1-105,Thunder Spirit,PURPLE,{N} UNIT,<<HASTE>>
1-106,Wind Blade Wielder of Swant,PURPLE,{N} UNIT,"<<HASTE>>
[ATK] If you have another unit with <<HASTE>>, deal 2 damage to an enemy unit."
1-107,Wind of Zephyron,PURPLE,{N} UNIT,[ENT] One unit gains +3/+0.
1-108,Initiate of Thunder God,PURPLE,{N} UNIT,"[ENT] Deal 2 damage to an enemy unit.
[CB] Draw 1 card."
1-109,Flame Tactics,PURPLE,{L} SPELL,Unexhaust a unit. It can attack again.
1-110,Flame Ward of Su=A,PURPLE,{L} SPELL,"Target up to 2 units, deal each of them 4 damage.
[CB] Deal 4 damage to a unit."
1-111,Basking the Purple Sun,PURPLE,{L} SPELL,"[ENT] If it's your main phase, gain control of up to 2 enemy non-{L} unit. Unexhaust them and give them <<HASTE>>.
(Return them to the opponent at the end of the turn.)
[CB] Put this into your hand."
1-112,Blending Thunder Powder,PURPLE,{L} SPELL,Deals 6 damage to a unit. Deal 2 damage to each enemy units.
1-113,Council of Vegga,PURPLE,{E} SPELL,"Choose one. [SYNC (P)]: Instead, choose up to two:
* Deal 4 damage to a unit.
* One unit gains +4/+0.
* One unit cannot block.
* Draw 1 card."
1-114,Flame Shot,PURPLE,{E} SPELL,Deal 4 damage to an opponent or a unit.
1-115,Charring Cursed Fire,PURPLE,{E} SPELL,"<<MILESTONE>>
Deals 5 damage to a unit."
1-116,Blitzkrieg,PURPLE,{E} SPELL,"Draw 1 card. You may discard 1 unit.
If you do, deal damage equal to the ATK of the discarded card to a unit."
1-117,Roaring Thunder Strike,PURPLE,{E} SPELL,"Deal 6 damage to a unit.
<<JUDGE>>: Deal 3 damage to a unit."
1-118,Thunder Shot,PURPLE,{N} SPELL,Deal 3 damage divided as you choose among any number of units.
1-119,Raining Wind Blades,PURPLE,{N} SPELL,"One attacking unit gains +2/+2. If it has <<HASTE>>, draw 1 card."
1-120,Storm of Thunder Spirit,PURPLE,{N} SPELL,"Deals 3 damage to a unit. For each spell in your discard pile, deal an additional 1 damage.
[CB] Deal 4 damage to a unit."
1-121,"Dallos, the God of Probability",BLACK,{L} UNIT,"[ENT] Put up to three non-{L} units in your discard pile into the battlefield.
[CB] Put this into your hand."
1-122,"Argor, the Archmage of Requiem",BLACK,{L} UNIT,"<<VIGOR>>
[AUTO] Whenever you gain life, deal the same amount as damage to an opponent.
[CB] Enemy units gains -3/-3."
1-123,"Menisma, the Dream Undertaker",BLACK,{L} UNIT,"<<VIGOR>>, <<AURA>>
[ENT] Look at your opponent hand and choose one card for them to discard. Deal X damage to your opponent. Gain X life. (X = the number of (B) units in your discard pile)."
1-124,Vlad Tepes,BLACK,{E} UNIT,"<<VIGOR>>, <<AURA>>
[CB] Take 3 damage. Draw one card."
1-125,"Illugangue, the Plague Beast",BLACK,{E} UNIT,"If you have taken damage this turn, the cost to play this card becomes 0.
<<VIGOR>>"
1-126,"Buldur, the Blood General",BLACK,{E} UNIT,[ENT] <<JUDGE>>: Put one non-{L} unit in your discard pile into the battlefield.
1-127,"Gai Va Num, the Ebony Prince",BLACK,{E} UNIT,"[CONT] During your turn, your opponents cannot play spells.
[RETREAT] You may return this unit to your hand. If you do, take 3 damage."
1-128,"Rajoe, the Treasure Seeker",BLACK,{E} UNIT,"[ENT] [SYNC (B)]: An opponent discard 1 card.
[ATK] This cannot be blocked if your opponent has 1 or fewer cards in their hand.
[AUTO] Whenever this unit deals damage to an opponent, draw one card."
1-129,"Nothfiza, the Dark Priestess",BLACK,{E} UNIT,"[ENT] <<JUDGE>>: Deal 2 damage to each opponent.
[CONT] Your <<JUDGE>> trigger twice. (After resolving a <<JUDGE>> effect, resolve it again.)"
1-130,"Melanda, the Dream Caller",BLACK,{E} UNIT,"<<VIGOR>>
[CONT] Your other units with <<VIGOR>> gain +1/+1.
[CB] Put one unit in your discard pile with <<VIGOR>> into your hand."
1-131,"Milliza, the Vampire of Roses",BLACK,{E} UNIT,"<<VIGOR>>, <<AURA>>
[ENT] Deal 3 damage to an enemy unit. You gain 3 life.
[CB] Take 3 damage. Draw one card."
1-132,"Velfalla, the Princess of Wailers",BLACK,{E} UNIT,"[AUTO] Whenever this or one of your other non-token units is put into the discard pile from the battlefield, put 1 Zombie token into the battlefield.
[CONT] Your Zombie tokens gain <<VIGOR>>."
1-133,"Vizall, the Prince of Wailers",BLACK,{E} UNIT,"[ENT] If you have 2 or more Zombie tokens in the battlefield, put an enemy non-{L} unit to the bottom of its owner's deck. Otherwise, put 1 Zombie token into the battlefield.
[CB] Put 1 Zombie token into the battlefield."
1-134,Bastet,BLACK,{E} UNIT,"[ATK] You may sacrifice one unit or a bookmark. If you do, this gains +3/+3."
1-135,Pan Jinlian,BLACK,{E} UNIT,[DEV] Destroy one non-{L} enemy unit.
1-136,Merlin,BLACK,{E} UNIT,"[DEV]: Deal 3 damage to each opponent.
[RETREAT] Put 1 spell in your discard pile into your hand."
1-137,"Zestar, the Apostate Knight",BLACK,{E} UNIT,"<<HASTE>>
[AUTO] Whenever one of your other non-token (B) units enters the battlefield, deal 1 damage to each opponent.
[ATK] If an opponent life is 10 or less, their units gain -2/-2."
1-138,"Dwell Garg, the Star Destroyer",BLACK,{E} UNIT,"<<BREACH>>, <<AURA>>
[ENT] Take 6 damage.
[SYNC (B)(B)]: You gain 6 life."
1-139,Medea,BLACK,{E} UNIT,"[ENT] Sacrifice one unit. Each opponent sacrifices one non-{N} unit.
[CB] Put 1 Zombie token into the battlefield."
1-140,"Vaya, the Dark Omniscience",BLACK,{E} UNIT,"[ENT] You may play one non-{L} spell in your discard pile without paying its cost.
[AUTO] Whenever you play a spell, you may draw one card. If you do, take 2 damage.
[DRAFT][CHRONOFORM]"
1-141,"Brokinaket, the Dream Wielder",BLACK,{E} UNIT,"You may sacrifice 3 units instead of paying (1) to play this card.
[ENT] Target one enemy unit, it gains -3/-3 for each of your unit that has been discarded from the battlefield this turn."
1-142,Skeltons of Massacre Forest,BLACK,{N} UNIT,[ENT] One enemy unit gains -1/-1.
1-143,Legion of Ghouls,BLACK,{N} UNIT,"<<VIGOR>>
[RETREAT] Put one Zombie token into the battlefield."
1-144,Excommunicated Othelotte,BLACK,{N} UNIT,"[ENT] Destroy an enemy {N} unit.
[CB] Destroy a {N} unit."
1-145,Carrion Goliath,BLACK,{N} UNIT,[ENT] Take 3 damage.
1-146,Blood Trader,BLACK,{N} UNIT,"[DRAFT] At the beginning of the game, you may put this into your chronoglyph as a bookmark.
[BOOKMARK] You may play a card from your hand reducing its CA cost by 2. If you do, take 5 damage and sacrifice this bookmark."
1-147,Demonic Berserker,BLACK,{N} UNIT,"[AUTO] Whenever this takes damage, you take the same amount of damage.
[ATK] This gains <<AURA>>"
1-148,Child of Night and Blood,BLACK,{N} UNIT,"<<VIGOR>>
[ATK] If you have another unit with <<VIGOR>>, this cannot be blocked."
1-149,Summon Abomination,BLACK,{L} SPELL,Put 1 non-{L} unit in your discard pile into the battlefield .
1-150,Doom Caller’s Exorcise,BLACK,{L} SPELL,Draw 2 cards. Take 3 damage.
1-151,In the Right Time,BLACK,{L} SPELL,"An opponent discards 1 card and sacrifices 1 unit. Deal 3 damage to them. You draw 1 card and put 1 unit in your discard pile into your hand. You gain 3 life.
[CB] Put this into your hand."
1-152,Dark Alter of Rovos,BLACK,{L} SPELL,"Destroy one {L} or {E} unit.
Put X Zombie tokens into the battlefield. (X = CA value of the destroyed unit)."
1-153,Soul Eating,BLACK,{E} SPELL,"Destroy one {L} or {E} unit.
<<JUDGE>>: You gain life equal to the unit's ATK."
1-154,Vampirism,BLACK,{E} SPELL,"Choose one:
* Deal 3 damage to an opponent. You gain 3 life.
* Draw 2 cards."
1-155,Cost of Curse,BLACK,{E} SPELL,"One unit gains -7/-7. Take 5 damage.
[CB] One unit gains -5/-5. Take 5 damage."
1-156,Blade of Demon Blood,BLACK,{E} SPELL,Destroy one unit.
1-157,Council of Melledus,BLACK,{E} SPELL,"Choose one. [SYNC (B)]: Instead, choose up to two:
* One unit gains -3/-3.
* Put 1 unit in your discard pile into your hand.
* Destroy one {N} unit.
* Draw 1 card."
1-158,Irresistible Plague,BLACK,{N} SPELL,"One unit gains -2/-2. When it's put into the discard pile this turn, put 1 Zombie token into the battlefield."
1-159,Balance of Life and Death,BLACK,{N} SPELL,"Sacrifice one unit. If you do, an opponent sacrifice one unit."
1-160,Death Curse,BLACK,{N} SPELL,"Destroy one {N} unit.
[CB] Take 3 damage. Draw one card."
1-161,"Valnica, the Queen of Ice",BLUE,{L} UNIT,"[ENT] Exhaust all enemy units. During each opponents' next unexhaust phase, their units do not unexhaust.
[CB] Exhaust all enemy units."
1-162,"Delnard, the Sword of Oceans",BLUE,{L} UNIT,"<<AURA>>
[AUTO] Whenever one of your unit deals damage to an opponent, draw 1 card."
1-163,"Izuruha, the Azure Goddess",BLUE,{L} UNIT,"<<AURA>>
[ENT] Exhaust one unit.
[AUTO] Whenever this unit deals damage to an opponent, it also deals damage to one of that opponent's exhausted unit.
[CB] Put this into your hand."
1-164,"Mifune, the Sea General",BLUE,{E} UNIT,"[DEV] Choose a color. Your units of that color gain <<AURA>>.
[RETREAT] Draw 1 card."
1-165,"Einherth, the Ocean Behemoth",BLUE,{E} UNIT,"If you have drawn 3 or more cards this turn, the cost to play this card becomes 0.
<<AURA>>"
1-166,"Nadeur, the Holy Aquamancer",BLUE,{E} UNIT,"[ENT] Put 2 Clayta tokens into the battlefield.
<<JUDGE>>: Target one exhausted enemy unit, deal it 2 damage for each of your Clayta token."
1-167,"Amissy, the Princess of Gust",BLUE,{E} UNIT,"<<AURA>>
[ENT] [SYNC (U)(U)] Exhaust each opponent's chronoglyph.
[AUTO] Whenever this unit is exhausted, exhaust an enemy unit.
[CB] Exhaust one unit."
1-168,"Asuka, the Illusion Swordmaster",BLUE,{E} UNIT,"<<AURA>>
[ENT] [SYNC (R)]: This gains +3/+3.
[SYNC (P)]: This gains <<HASTE>>.
[CB] Draw one card."
1-169,"Izuruha, the Guardian of Emperor",BLUE,{E} UNIT,"<<AURA>>
[ENT] Destroy one exhausted enemy unit.
[CB] Draw 1 card."
1-170,"Sa'’ala, the Blue Dracomancer",BLUE,{E} UNIT,"[ATK] This gains +1/+1 for each of your Clayta token.
[AUTO] Whenever this unit deals damage to an opponent, put 2 Clayta token into the battlefield."
1-171,"Noza Sula, the Polar Wind",BLUE,{E} UNIT,"[CONT] Your [CB] triggers twice.
[CB] Put 1 card in your discard pile with [CB] into your hand."
1-172,"Mishuka, the Commander of Ice",BLUE,{E} UNIT,[CONT] Cards in your hand gain <<QUICK>>.
1-173,"Karna, the Beautiful Swordmaster",BLUE,{E} UNIT,"<<AURA>>
[CONT] Your other units with <<AURA>> gain +1/+1.
[CB] Put 1 unit in your discard pile with <<AURA>> into your hand."
1-174,"Yuen, the Spellcaster of Moon",BLUE,{E} UNIT,"[AUTO] Whenever one of your units with <<QUICK>> is put into the battlefield in your main phase, exhaust an enemy unit.
[CB] Put one unit in your discard pile with <<QUICK>> into your hand."
1-175,"En Ha, the Oracle of Waves",BLUE,{E} UNIT,"[ENT]: You may put one card in your CA zone onto top of your deck. If you do, chronocheck 1.
[DRAFT] [CHRONOFORM]"
1-176,"Famm, the Long-Eared Illusionist",BLUE,{E} UNIT,"<<AURA>>
[ENT] Put 1 Clayta token into the battlefield.
[ACT] (0): One Clayta token gains +5/+5. This ability can be played only in your main phase and once per turn."
